DeviceModeId,DeviceTypeId,DeviceModeCode,DeviceModeName,Manufacturer,RatedPower,FactoryModeName
873FADD7-5FBF-4EDA-80A9-1BCA551ED135,EF6594F0-8DAF-40B5-93A3-144F12EE8E6C,11,SZ11-100000/110,正泰电气,NULL,SZ11-100000/110
385DF8DB-D670-42E0-A49C-1BE144951E56,FA7DC619-9F2C-43FB-9E2A-F7166660DDE0,8,SOLAR1000,曙光新航,NULL,SOLAR1000
DAEFD18D-AD85-4386-B9DB-1CA72F0FD68D,95E6DBCE-806D-4BE4-AC86-3CA2FBA5502C,13,DLSVG-2000/10,襄阳大力电网技术有限公司,NULL,DLSVG-2000/10
F6A88147-F8BB-426F-8F1D-1CAF8496B61D,9E8DC174-A7AC-49E0-B94A-0B4CDC003CBF,12,LGJ-650/55,长沙潇湘电缆附件有限公司,NULL,LGJ-650/55
293176AF-DCA3-4D40-A33E-1DB360C6696D,4E852BF7-FDAA-4D8C-A13C-4EFD09E4F9F3,19,DTZ747,北京煜邦电力技术股份有限公司,NULL,DTZ747
D0EEF704-ECF2-4D81-B31F-2009FF6EF3D0,C8B96B26-9DC8-4B91-8655-22FF6E02A593,31,箱变,动力协合,NULL,
E622314D-F198-40C3-9DA6-20109DDD850F,41042D23-F3AF-4DC1-AB23-A97950B6DD60,7,FD77-1500-IIIA,常牵,1500.0000,FD77-1500
C2017F07-835F-4403-9EA2-20B5700708C0,FA7DC619-9F2C-43FB-9E2A-F7166660DDE0,2,NRG,北京曙光,NULL,NRG
E4C3F422-60BE-49DB-A03A-2102FBABE6F3,6F131376-CBD2-4CC0-9E0B-C27B9C55B348,4,PVI 28TL (480V),Yaskawa –Solectria Solar,NULL,
9A19E1AE-6E70-40B3-9614-21CDCED1C489,E084FF31-2F1B-4E8B-BFA1-9C82E7B5CE84,24,XGN49-40.5(Z),宁波天安,NULL,
8C4EABB8-3413-4087-958E-244C2145D7A1,43A89653-168B-46D9-B47D-0B6C773C3AF9,9,PCS-9563,南京南瑞继保工程技术有限公司,NULL,PCS-9563
B1A7A2AB-B42E-4B3B-8D92-25C111BBB7C5,0C109926-7918-4B91-9FB1-2F71B28BACD0,2,GCSM-216（AGC）/TH-FQ（AVC）,北京四方继保自动化股份有限公司（AGC）/沈阳天河自动化工程有限公司（AVC）,NULL,GCSM-216（AGC）/TH-FQ（AVC）
A47A07AC-395E-4CCC-8E87-25C20928239A,95E6DBCE-806D-4BE4-AC86-3CA2FBA5502C,15,PCS9583-HSVG-GL-Y10-8-PG,鲁特电工股份有限公司,NULL,PCS9583-HSVG-GL-Y10-8-PG
CE5E046C-6EB8-4E2D-8047-25D462B2BB22,73F532E2-27D5-488C-A618-C84A164C5A6A,8,KYN61,西电宝鸡电气有限公司,NULL,KYN61
C244CDE1-FCD0-4D29-B584-26265DC341E8,95E6DBCE-806D-4BE4-AC86-3CA2FBA5502C,2,Huadeng_GSC-10/12-YA,北京四方继保自动化股份有限公司,NULL,GSC-10/12-YA
F5E9D759-80AC-4055-A59D-2706CCFF0B8D,73F532E2-27D5-488C-A618-C84A164C5A6A,17,ZN85-40.5,云南云开电气股份有限公司,NULL,ZN85-40.5
AE211605-F432-4297-9834-27EADB576D3A,EF6594F0-8DAF-40B5-93A3-144F12EE8E6C,5,SZ11-40000/100,山东省电力公司,NULL,SZ11-40000/100
1BFB5AF3-E7E9-4FFE-AFB2-29629EDE6159,95E6DBCE-806D-4BE4-AC86-3CA2FBA5502C,7,HRSVG-35/10-±6M,合容电器股份有限公司,NULL,HRSVG-35/10-±6M
EE5BA74C-641E-4912-AC64-2B3FA1FECBAA,4E852BF7-FDAA-4D8C-A13C-4EFD09E4F9F3,20,电能量采集终端FFC3-301391,兰吉尔仪表系统(珠海）有限公司,NULL,电能量采集终端FFC3-301391
2E076AC6-B4BE-4AA2-A77B-2BC5AD2C1412,41042D23-F3AF-4DC1-AB23-A97950B6DD60,13,S50-750,金风,750.0000,S50-750
C817AEA9-F289-4664-8678-2C0446AB4F3D,41042D23-F3AF-4DC1-AB23-A97950B6DD60,38,MY2.0-121,明阳,2000.0000,MY2.0-121
266F51B3-AC80-46FA-80CE-2C2680D43BCD,B273F5A4-FF7E-4D08-89C3-3D36D07140DB,2,MOS3000在线监测系统,安徽容知日新信息技术有限公司,NULL,MOS3000在线监测系统
9E853DF1-41A1-4147-954E-2C81295276E6,EF6594F0-8DAF-40B5-93A3-144F12EE8E6C,6,SFZ11-50000/110GYW,云南变压器电气股份有限公司,NULL,SFZ11-50000/110GYW
32712DFF-8D7D-4284-B200-2D0BAF4855FE,EE1DCF6C-E060-466F-A5CF-72C4EDAC2B26,3,东润环能_70,,NULL,东润环能_70
D6FC346D-47F2-42E6-ADD3-2ED770CEC47C,6F131376-CBD2-4CC0-9E0B-C27B9C55B348,3,SG40KTL,阳光电源,NULL,SG40KTL
9EAC7101-534F-4611-96B0-2F76BF2A11B2,B273F5A4-FF7E-4D08-89C3-3D36D07140DB,3,博风慧能风力发电机组振动监测及故障诊断系统V1.0,博风慧能,NULL,博风慧能风力发电机组振动监测及故障诊断系统V1.0
50FDA33C-5BD9-408E-A818-301C5E512284,73F532E2-27D5-488C-A618-C84A164C5A6A,6,KYN61-40.5,江苏大全长江电器股份有限公司,NULL,KYN61-40.5
1880A9DC-0DE9-45B9-9136-31A988D85C65,4E852BF7-FDAA-4D8C-A13C-4EFD09E4F9F3,6,DF6201C,烟台东方威思顿电气有限公司,NULL,DF6201C
26E2B880-D105-42A0-B1CC-3430610BD03F,EF6594F0-8DAF-40B5-93A3-144F12EE8E6C,10,SFZ11-100000/220,西电济南变压器股份有限公司,NULL,SFZ11-100000/220
CF058ABE-F3AB-4D00-89DE-350211CC27D5,45A400E0-2819-4076-ACE7-6DD8EA520C24,1,全场信息汇总,北京动力协合,NULL,
87674BE0-E404-4896-BD07-3686B39C1F4F,9E8DC174-A7AC-49E0-B94A-0B4CDC003CBF,1,LGJ-400/35,江苏大全长江电器股份有限公司,NULL,LGJ-400/35
CB036B25-54E5-4315-B75C-3740DA566E5D,7009BB03-B1A3-4EB7-A8C7-342C1F03DCA8,8,肥西新光风电场,中国风电集团,NULL,肥西新光风电场
F22975AA-F1E2-4CFE-9849-3749054BDD2D,43A89653-168B-46D9-B47D-0B6C773C3AF9,13,PVI 15KW,Solectria,NULL,
A662C5BC-AE28-4391-8639-3789FE0AA67E,43A89653-168B-46D9-B47D-0B6C773C3AF9,17,SB7000US,"SMA ",NULL,
A442319E-74AF-48CC-9D0B-379A835B8FFA,641917AE-A7B4-4CA6-8141-B50BC3DEA9D4,4,SPWF-3000,国能日新,NULL,SPWF-3000
50BF0FF6-58E2-445D-8FAF-386CA4AC4C75,E084FF31-2F1B-4E8B-BFA1-9C82E7B5CE84,17,ZN85-40.5/1250A-31.5kA,哈尔滨九洲电气股份有限公司,NULL,ZN85-40.5/1250A-31.5kA
C9476228-ECA5-4266-9954-38F5068A3258,41042D23-F3AF-4DC1-AB23-A97950B6DD60,1,FD82B-1500,东汽,1500.0000,FD82B-1500
35869E12-1E36-4802-A3AB-38FF4D4BA27C,41042D23-F3AF-4DC1-AB23-A97950B6DD60,19,GW115/2000,金风,2000.0000,GW115/2000
